@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'‘ешенебельный район','÷ентр города','—пальный район',ѕригород,ќкраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Ёлитный,'ќчень высокий',¬ысокий,Ќормальный,Ќизкий,'ќчень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
22.71,6.37,412.47,E,5707,82.48,1820.55,7.03,1799,10000,'÷ентр города',2,0,13.04,324.52,'около 5 000',Ёлитный,1,'около 1 000'
29.08,7.15,319.09,E,211182,99.52,457.22,1,540,1000,'÷ентр города',1,1.21,6.04,197.41,'более 1 000',Ёлитный,1,'более 1 000'
44.42,11.15,209.47,E,104917,99.97,865.38,1,1000,10000,'‘ешенебельный район',1,0,6.06,640.98,'более 10 000',Ёлитный,1,'менее 50'
29.95,7.08,330.03,E,57289,73.82,1204.22,1.59,2000,10000,'÷ентр города',1,0,16.51,442.38,'более 20 000',Ёлитный,1,'более 10 000'
28.26,5.58,304.31,E,43486,99.84,1093.72,1,1230,1000,'÷ентр города',1,0,6.04,151.04,'около 500',Ёлитный,1,'около 50'
38.7,7.17,361,E,371895,99.46,1218.08,1,1375,10000,'÷ентр города',1,0,2.8,0,'более 1 000',Ёлитный,1,'около 2 000'
13.95,5.09,154.49,E,3215488,69.7,102.59,1,170,100000,'÷ентр города',1,0,63.1,294.25,'более 100 000',Ёлитный,1,'около 1 000 000'
23.31,6.15,347.78,E,262281,98.93,612.03,1,599,10000,'÷ентр города',2,0,13.04,166.38,'около 5 000',Ёлитный,1,'более 2 000'
18.48,4.5,248.67,E,2779,64.02,815.21,5.12,2499,10000,'÷ентр города',2,0,13.04,304.12,'около 5 000',Ёлитный,1,'около 1 000'
24.24,6.48,391.83,E,6857,85.42,2223.5,7.41,2299,10000,'÷ентр города',2,0,13.04,299.45,'около 5 000','ќчень высокий',1,'около 1 000'
24.08,6.78,298.11,E,190874,99.48,329.22,1,349,10000,'÷ентр города',2,0,13.04,226.42,'около 5 000','ќчень высокий',1,'около 1 000'
27.52,5.85,370.41,E,35971,97.22,914.62,1,999,10000,'÷ентр города',2,0,13.04,261.86,'около 5 000',Ёлитный,1,'около 1 000'
24.91,12.3,254.22,E,15172,93.41,1757.75,1,1999,10000,'÷ентр города',2,0,13.04,256.55,'около 5 000',Ёлитный,1,'около 1 000'
