@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
29.08,7.15,319.09,E,161433,98.56,638.46,1,1481.08,100000,'Центр города',9,0,50.19,409.26,'более 100 000','Очень низкий',2,'около 1 000'
29.08,7.15,319.09,E,161433,98.56,638.46,1,709,1000,'Центр города',1,0,5.17,197.41,'более 1 000',Элитный,2,'более 1 000'
44.42,11.15,209.47,E,95286,95.8,339.24,1,1800,10000,'Фешенебельный район',1,0,47.2,640.98,'более 10 000',Элитный,1,'около 5 000'
29.95,7.08,330.03,E,149430,93.27,585.66,1,800,10000,'Центр города',1,0,16.39,442.38,'более 20 000',Элитный,2,'около 20 000'
29.95,7.08,330.03,E,149430,93.27,585.66,1,1286.45,10000,'Центр города',9,0,50.19,420.01,'более 20 000','Очень низкий',2,'около 50'
5.65,3.48,73.25,E,35100,75.78,114.08,1.41,206,10000,'Центр города',3,0,50.19,180.67,'около 5 000',Элитный,2,'более 2 000'
5.65,3.48,73.25,E,35100,75.78,114.08,1.41,300,10000,'Центр города',3,0,50.19,114.82,'более 1 000',Элитный,2,'около 5 000'
28.26,5.58,304.31,E,77706,99.91,668.39,1,751,1000,'Центр города',1,0,5.17,151.04,'около 500',Элитный,1,'около 50'
32.99,6.44,283.74,E,60906,88.51,391.74,3.83,600,10000,'Фешенебельный район',1,0,47.2,661.32,'более 20 000',Элитный,1,'около 5 000'
48.14,8,863.38,E,29079,82.81,1766.22,3.9,1750,10000,'Спальный район',3,0,50.19,657.12,'более 100 000','Очень низкий',1,'около 5 000'
38.7,7.17,361,E,437137,92.11,989.58,1,1819.32,10000,'Центр города',1,0,41.11,0,'более 1 000',Элитный,2,'более 10 000'
35.21,8.78,1194.01,B,20000,0,1540.78,2.45,2100,10000,'Спальный район',4,0,41.11,659.62,'около 100 000','Очень низкий',1,'около 20 000'
