@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
20.39,5.51,274,E,449476,74.67,30.58,4.45,35,100000,'Центр города',2,0.05,12.81,569.83,'около 500 000',Нормальный,3,'более 100 000'
20.39,5.51,274,E,449476,74.67,30.58,4.45,28,10000,'Центр города',5,0,14.64,346.15,'около 5 000','Очень высокий',3,'около 5 000'
20.39,5.51,274,E,449476,74.67,30.58,4.45,31,1000,'Спальный район',4,0,5.87,46.83,'более 200',Элитный,3,'более 1 000'
12.5,5.84,266.25,E,122629,91.03,40.38,1,38.64,10000,'Центр города',2,0,2.49,354.68,'около 5 000',Высокий,2,'около 1 000'
12.5,5.84,266.25,E,122629,91.03,40.38,1,8.8,10000,'Центр города',1,2.72,12.96,405.79,'около 10 000',Элитный,2,'около 10 000'
19.02,4.74,243.68,E,153592,85.52,52.43,7.47,57,1000,'Центр города',1,0,8.05,138.04,'около 500','Очень высокий',3,'более 1 000'
19.02,4.74,243.68,E,153592,85.52,52.43,7.47,17,10000,'Центр города',1,2.72,12.96,385.07,'около 10 000',Элитный,3,'более 10 000'
19.02,4.74,243.68,E,153592,85.52,52.43,7.47,50,10000,Пригород,3,0.26,6.64,289.35,'более 1 000',Элитный,3,'около 5 000'
14.84,6.04,323.95,E,132183,81.84,97.99,1.25,62.59,100000,'Центр города',3,0.39,10.84,367.4,'около 50 000','Очень высокий',3,'более 20 000'
14.84,6.04,323.95,E,132183,81.84,97.99,1.25,97.5,100,'Центр города',2,0,1.14,109.27,'около 100',Низкий,3,'менее 50'
14.84,6.04,323.95,E,132183,81.84,97.99,1.25,104.04,100,'Центр города',2,0,1.14,109.84,'около 100',Низкий,3,'менее 50'
13.47,4.2,180.05,E,165199,66.71,34.61,5.68,8.8,10000,'Центр города',1,2.72,12.96,385.8,'около 10 000',Элитный,1,'около 50 000'
