@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Окраина,Пригород}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute SELL_VOLUME numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT numeric
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric

@data
14.84,6.04,323.95,E,1865,94.64,7595.7,1,17000,100000,'Центр города',5,3.41,23.29,100,545.55,200000,Нормальный,1
13.47,4.2,180.05,E,1247,99.76,8595.16,1,30000,1000,'Центр города',3,2.75,16.93,50,353.97,1000,Нормальный,1
13.47,4.2,180.05,E,1247,99.76,8595.16,1,35000,10000,'Центр города',2,0,12.14,50,304.01,5000,Элитный,1
17.47,6.07,325.43,E,8662,93.4,4081.26,1,19000,100000,'Центр города',6,3.41,23.11,500,482.59,100000,Нормальный,1
24.09,6.5,389.39,E,6154,99.43,13756.8,1,45500,100000,'Фешенебельный район',5,0,7.98,50,541.39,50000,Элитный,2
24.09,6.5,389.39,E,6154,99.43,13756.8,1,16000,10000,'Центр города',1,0,7.99,50,327.33,5000,Элитный,2
31.87,11.17,387.83,E,26786,90.55,20475.5,1.1,59890,10000,'Центр города',1,0.55,29.54,50,523.81,100000,Нормальный,2
31.87,11.17,387.83,E,26786,90.55,20475.5,1.1,60000,10000,'Фешенебельный район',1,3.64,16.79,2000,391.62,5000,Элитный,2
23.07,5.5,410.32,E,2060,99.81,12109.6,1,40000,100000,'Фешенебельный район',5,0,3.35,50,634.71,100000,Элитный,1
26.65,8.52,456.65,E,22643,90.66,13744.9,1,35500,100000,'Центр города',5,4.16,23.27,1000,447.19,200000,Высокий,3
26.65,8.52,456.65,E,22643,90.66,13744.9,1,49000,100000,'Центр города',3,1.67,26.39,100,450.36,200000,'Очень высокий',3
33.11,6.85,380.03,'',7134,100,19619.39,1,55000,1000,'Центр города',1,0.23,12.14,100,422.66,5000,Высокий,0
21.94,6.7,374.03,E,12078,97.92,13559.72,1,79203.22,100000,'Фешенебельный район',2,2.03,37.77,200,601.56,100000,Элитный,1
25.77,5.9,383.71,E,7807,99.96,12405.26,1,57000,10000,'Фешенебельный район',8,0,12.76,50,548.94,5000,'Очень высокий',1
22.49,8.02,329.18,E,16042,99.92,9741.44,1,30000,1000,'Центр города',1,1.93,12.14,50,181.38,1000,Элитный,1
15.89,8.62,439.9,E,7950,99.75,9356.31,1,35000,10000,'Центр города',2,1.93,12.14,50,301.96,5000,Элитный,1
25.62,7.03,1073.98,E,8046,99.38,10143,1,45000,100000,'Центр города',1,0,26.36,50,533.69,500000,Элитный,1
25.62,7.03,1073.98,E,8046,99.38,10143,1,45000,100000,'Фешенебельный район',3,2.7,20.76,50,628.13,100000,Элитный,1
26.77,7.39,928.54,E,8185,98.78,9881.81,1,20000,100000,'Фешенебельный район',6,0,11.27,100,310.54,5000,Элитный,1
4.5,2.56,61.78,E,5398,94.63,637.14,1,4000,100000,'Центр города',2,1.59,26.33,500,483.51,200000,'Очень высокий',1
13.8,3.48,170.38,E,43532,89.66,3589.1,1,18000,100000,'Центр города',1,1.59,26.21,5000,502.57,500000,Элитный,1
10.59,6.11,313.38,E,2356,99.83,9016.54,1,31000,100000,'Центр города',3,1.93,12.14,50,466.75,200000,'Очень высокий',1
12.42,6,317.66,E,2420,99.75,8883.45,1,30000,500,'Центр города',1,1.86,12.14,50,310.75,500,'Очень высокий',1
25.04,7.31,1434.5,E,10212,99.02,9904.03,1,42100,100000,'Фешенебельный район',2,3.91,22.94,100,541,50000,Элитный,2
25.04,7.31,1434.5,E,10212,99.02,9904.03,1,25000,100000,'Центр города',6,0,11.27,500,279.54,20000,Элитный,2
23.89,7.7,947.88,E,13304,99.99,10002.59,1,45000,100000,'Фешенебельный район',8,1.29,29.09,50,324.99,10000,Элитный,1
35.1,7.34,1114.59,E,26922,92.56,20441.89,1,70000,100000,'Центр города',1,0,19.33,1000,499.65,500000,Элитный,4
35.1,7.34,1114.59,E,26922,92.56,20441.89,1,35000,100000,'Центр города',3,2.7,20.76,100,433.97,200000,'Очень высокий',4
