@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
40.97,7.96,441.62,C,565,0,4423.71,17.57,9240.33,1000,'Фешенебельный район',1,2.23,28.45,627.09,'более 2 000','Очень высокий',5,'более 200'
40.97,7.96,441.62,C,565,0,4423.71,17.57,3600,1000,'Спальный район',3,0.03,18.42,241.14,'около 1 000','Очень высокий',5,'менее 50'
40.97,7.96,441.62,C,565,0,4423.71,17.57,5312,1000,'Центр города',1,0,41.54,346.09,'около 5 000',Высокий,5,'более 100'
17.77,5.43,306.31,A,734,0,2682.25,16.83,1500,10000,'Центр города',1,0,19.1,689.3,'около 50 000',Высокий,2,'около 1 000'
16.67,4.63,262,E,1251,66.67,2624.8,16.42,650,10000,'Центр города',1,0,18.84,683.9,'около 100 000',Нормальный,2,'около 500'
17.25,5.29,234.04,C,189,0,2315.07,8.82,1500,100000,'Центр города',5,0,41.54,311.52,'более 20 000',Элитный,4,'более 100'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,1000,10000,'Фешенебельный район',1,0,41.54,666.58,'более 10 000',Элитный,10,'более 1 000'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,285,10000,'Центр города',1,0,19.98,539.85,'около 50 000','Очень высокий',10,'менее 50'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,1175.45,10000,'Фешенебельный район',1,1.98,28.2,606.34,'более 10 000',Элитный,10,'около 500'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,1222,10000,'Фешенебельный район',1,3.75,43.35,529.34,'около 10 000',Элитный,10,'более 1 000'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,1222,10000,'Фешенебельный район',1,3.75,43.02,529.34,'около 10 000',Элитный,10,'более 1 000'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,580,10000,Окраина,1,0,23.24,230.56,'более 3 000',Элитный,10,'менее 50'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,170,10000,'Центр города',2,1.61,23.33,262.86,'около 10 000',Элитный,10,'менее 50'
20.4,5.75,220.01,C,3958,0,2314.98,31.63,107.11,10000,'Центр города',1,0,14.58,436.81,'более 20 000',Элитный,10,'менее 50'
18.77,10.74,409.54,A,7450,0,4041.84,17.95,1000,100000,'Центр города',1,4.36,24.93,500.37,'более 200 000',Элитный,4,'более 2 000'
18.77,10.74,409.54,A,7450,0,4041.84,17.95,800,100000,'Центр города',1,0.21,18.32,604.44,'около 1 000 000','Очень высокий',4,'около 5 000'
18.77,10.74,409.54,A,7450,0,4041.84,17.95,660,100000,'Центр города',1,0.21,18.32,604.44,'около 1 000 000',Высокий,4,'около 2 000'
18.77,10.74,409.54,A,7450,0,4041.84,17.95,120,1000,'Фешенебельный район',1,0,23.46,450.92,'более 1 000',Элитный,4,'менее 50'
17.32,4.58,251.37,AAA,195,0,2346.92,14.64,1800,10000,'Центр города',1,0,16.91,634.41,'около 50 000',Высокий,1,'около 200'
10.46,4.31,250,C,194,0,2630.23,21.67,530,1000,'Центр города',1,3.04,28.8,314.79,'более 1 000','Очень высокий',1,'более 100'
14.08,3.9,231,E,534,98.31,1624.13,1,94,10000,'Фешенебельный район',4,0,12.29,396.11,'более 1 000',Элитный,1,'менее 50'
21.39,8.33,282.14,C,1151,0,5063.48,13.31,2500,100000,'Центр города',5,0,35.49,121.55,'около 10 000',Элитный,6,'около 500'
21.39,8.33,282.14,C,1151,0,5063.48,13.31,524,100000,'Спальный район',4,0,23.33,396.7,'около 50 000',Элитный,6,'менее 50'
21.39,8.33,282.14,C,1151,0,5063.48,13.31,4000,100000,'Центр города',4,0,19.97,425.31,'более 100 000','Очень высокий',6,'около 100'
14.36,6.96,388.05,C,1924,0,3797.06,16.67,380,10000,'Спальный район',4,0,12.72,299.25,'около 5 000','Очень высокий',3,'менее 50'
14.36,6.96,388.05,C,1924,0,3797.06,16.67,550,100000,'Центр города',2,0,19.78,479.84,'более 200 000',Нормальный,3,'около 500'
8,5.19,190.03,D,2909,45.38,1090.04,2.63,230,10000,'Спальный район',1,0,19.97,507.86,'более 20 000',Элитный,2,'более 1 000'
13.13,4.83,286.09,C,3811,0,3003.44,19.54,150,100000,'Центр города',4,0,9.6,294.02,'около 50 000',Элитный,5,'менее 50'
13.13,4.83,286.09,C,3811,0,3003.44,19.54,1000.31,100000,'Центр города',5,0.13,23.54,631.1,'более 1 000 000','Очень низкий',5,'около 500'
13.13,4.83,286.09,C,3811,0,3003.44,19.54,445,100000,'Центр города',3,2.65,25.92,413.44,'более 100 000',Элитный,5,'более 2 000'
13.13,4.83,286.09,C,3811,0,3003.44,19.54,599,100000,'Центр города',1,1.82,23.36,438.81,'более 100 000',Элитный,5,'около 100'
13.13,4.83,286.09,C,3811,0,3003.44,19.54,840,100000,'Центр города',1,0.11,24.11,218.78,'более 20 000',Элитный,5,'менее 50'
15.44,4.34,192.77,A,7724,0,1841.33,17.6,765,100000,'Центр города',1,0.07,19.75,645.87,'более 1 000 000',Нормальный,5,'около 5 000'
15.44,4.34,192.77,A,7724,0,1841.33,17.6,470,100000,'Спальный район',2,2.65,25.94,410.06,'более 100 000','Очень высокий',5,'около 500'
15.44,4.34,192.77,A,7724,0,1841.33,17.6,710,100000,'Центр города',1,0.23,20.34,214.21,'более 10 000',Элитный,5,'менее 50'
4.38,5.13,370.94,D,3533,48.17,118.82,2.59,349,500,'Центр города',1,0,17.92,82.15,'более 200',Элитный,5,'менее 50'
4.38,5.13,370.94,D,3533,48.17,118.82,2.59,285,100000,'Центр города',2,1.05,26.72,339.54,'около 50 000',Элитный,5,'более 1 000'
4.38,5.13,370.94,D,3533,48.17,118.82,2.59,190,100000,'Центр города',4,0.48,10.05,329.41,'около 50 000',Низкий,5,'менее 50'
21.35,6.02,349.44,D,3338,29.99,3655.22,20.13,305,100000,'Центр города',1,1.15,26.63,278.19,'около 50 000',Элитный,6,'более 2 000'
21.35,6.02,349.44,D,3338,29.99,3655.22,20.13,390,100000,'Спальный район',4,1.25,29.66,327.83,'около 50 000','Очень высокий',6,'около 100'
21.35,6.02,349.44,D,3338,29.99,3655.22,20.13,550,1000,Пригород,1,0.12,24.25,20.88,'более 200',Элитный,6,'менее 50'
21.35,6.02,349.44,D,3338,29.99,3655.22,20.13,770,1000,'Центр города',1,0,37.7,115.77,'около 1 000',Элитный,6,'около 50'
15.39,7.67,310.15,A,3331,0,3262.91,19.33,2000,100000,'Фешенебельный район',1,0,23.05,681.59,'более 200 000',Элитный,8,'более 1 000'
15.39,7.67,310.15,A,3331,0,3262.91,19.33,157.6,100000,'Центр города',2,0,37.71,388.29,'более 100 000',Элитный,8,'около 500'
15.39,7.67,310.15,A,3331,0,3262.91,19.33,1200,100000,'Центр города',2,3.83,24.95,495.08,'около 500 000',Низкий,8,'около 1 000'
15.39,7.67,310.15,A,3331,0,3262.91,19.33,1400,1000,'Фешенебельный район',1,1.26,29.62,387.54,'около 500',Элитный,8,'около 100'
15.39,7.67,310.15,A,3331,0,3262.91,19.33,812.71,1000,'Центр города',1,0,20.62,261.17,'более 2 000','Очень высокий',8,'около 50'
6.1,5.24,138.68,E,916,77.29,594.04,5.64,500.38,1000,'Центр города',1,0,11.7,119.67,'около 500',Элитный,5,'около 50'
8.35,4.73,146.48,C,306,0,1553.77,20.09,130,100000,'Центр города',8,0,19.78,367.69,'около 50 000',Низкий,3,'менее 50'
8.35,4.73,146.48,C,306,0,1553.77,20.09,180,100000,'Спальный район',4,2.12,23.68,362.5,'около 50 000',Высокий,3,'более 200'
14.71,4.87,204.09,D,1169,26.43,2044.74,17.2,495,100000,'Спальный район',1,2.01,23.36,306.96,'около 50 000',Элитный,7,'около 200'
14.71,4.87,204.09,D,1169,26.43,2044.74,17.2,54,100000,'Спальный район',6,1.44,22.33,334.4,'около 50 000',Нормальный,7,'менее 50'
14.71,4.87,204.09,D,1169,26.43,2044.74,17.2,280,10000,'Центр города',1,0.05,13.76,386.98,'более 10 000',Элитный,7,'более 100'
6.18,6.45,147.57,B,2909,0,242.32,14.82,750,100000,'Центр города',1,0.16,19.89,555.71,'около 500 000','Очень высокий',4,'более 1 000'
6.18,6.45,147.57,B,2909,0,242.32,14.82,11,100000,'Центр города',2,0.01,12.23,430.58,'более 100 000','Очень высокий',4,'более 100'
12.83,6.95,308.18,B,7814,0,2990.91,15.95,850,100000,'Центр города',1,0.06,19.9,631.03,'более 1 000 000',Нормальный,3,'около 10 000'
12.83,6.95,308.18,B,7814,0,2990.91,15.95,796,100000,'Центр города',2,2.12,23.96,285.97,'около 50 000',Элитный,3,'более 200'
16.43,4.36,214.7,C,2578,0,2259.13,28.2,500,100000,'Центр города',1,0.2,41.54,409.47,'более 100 000',Элитный,2,'более 2 000'
16.43,4.36,214.7,C,2578,0,2259.13,28.2,1400,100000,'Центр города',1,0,20.36,455.96,'более 200 000',Элитный,2,'более 200'
3.5,3.7,223.96,E,1440,69.24,64.85,8.36,480.99,100000,'Центр города',1,4.89,23.95,502.14,'более 200 000',Элитный,1,'около 500'
11.55,4,262.12,B,2647,0,449.34,20.37,275.39,100000,'Центр города',1,1.13,26.72,471.66,'более 100 000',Элитный,3,'более 1 000'
11.55,4,262.12,B,2647,0,449.34,20.37,530,100000,'Центр города',1,0.06,24.8,364.45,'около 100 000',Элитный,3,'около 500'
11.55,4,262.12,B,2647,0,449.34,20.37,800,100000,'Спальный район',1,2.94,31.39,332.72,'около 50 000',Элитный,3,'около 500'
22.67,6.3,338.83,D,3053,44.74,3637.53,16.81,2500,100000,'Центр города',2,0,16.28,533.31,'около 500 000',Высокий,6,'более 200'
22.67,6.3,338.83,D,3053,44.74,3637.53,16.81,1400,100000,'Центр города',7,0,22.31,426.03,'более 100 000',Нормальный,6,'около 500'
22.67,6.3,338.83,D,3053,44.74,3637.53,16.81,300,10000,'Спальный район',4,0,23.68,226.03,'около 5 000',Элитный,6,'около 50'
28.74,6.6,298.29,C,1778,0,3202.73,16.83,840,100000,'Центр города',2,0,18.79,435.27,'более 100 000',Элитный,5,'более 1 000'
28.74,6.6,298.29,C,1778,0,3202.73,16.83,890,1000,'Спальный район',3,0,19.06,199.62,'около 1 000','Очень высокий',5,'менее 50'
28.74,6.6,298.29,C,1778,0,3202.73,16.83,800,10000,'Спальный район',4,0,19.98,440.14,'более 10 000',Высокий,5,'более 100'
12.82,4.38,282.7,D,351,25.93,408.06,12.4,1700,100000,'Фешенебельный район',1,0,18.75,636.25,'около 100 000',Элитный,1,'более 200'
24.61,6.2,392,A,1881,0,4123.92,13.62,1800,1000,'Фешенебельный район',1,2.06,26.63,292.91,'около 500',Элитный,6,'около 100'
24.61,6.2,392,A,1881,0,4123.92,13.62,1900,1000,'Спальный район',3,0,18.25,197.1,'около 1 000','Очень высокий',6,'менее 50'
24.61,6.2,392,A,1881,0,4123.92,13.62,1580,100000,'Центр города',1,4.22,33.99,442.28,'более 100 000','Очень высокий',6,'более 1 000'
24.61,6.2,392,A,1881,0,4123.92,13.62,2000,100000,'Центр города',8,0,15.51,432.62,'более 100 000',Высокий,6,'около 500'
17.69,4.43,238.2,A,8955,0,2376.17,17.47,1400,100000,'Центр города',1,0.13,19.68,627.29,'более 1 000 000',Нормальный,5,'около 10 000'
17.69,4.43,238.2,A,8955,0,2376.17,17.47,580,10000,Окраина,3,0,20.61,146.3,'более 2 000','Очень высокий',5,'менее 50'
17.69,4.43,238.2,A,8955,0,2376.17,17.47,820,100000,'Центр города',1,0.26,22.5,193.92,'более 10 000',Элитный,5,'менее 50'
17.69,4.43,238.2,A,8955,0,2376.17,17.47,339.7,10000,'Центр города',5,0.15,23.64,168.25,'около 5 000',Элитный,5,'около 50'
17.69,4.43,238.2,A,8955,0,2376.17,17.47,695.85,10000,'Центр города',5,1.37,26.21,168.25,'около 5 000',Элитный,5,'около 50'
25.54,7.48,434.73,B,19006,0,4573.56,23.48,500,100000,'Фешенебельный район',1,3.23,34.92,666.68,'около 500 000',Элитный,9,'около 5 000'
25.54,7.48,434.73,B,19006,0,4573.56,23.48,1625,100000,'Фешенебельный район',1,0,37.69,672.53,'около 500 000','Очень высокий',9,'около 5 000'
