@relation RetailSalePrediction

@attribute WEALTH_INDEX numeric
@attribute EDUCATION_INDEX numeric
@attribute AVERAGE_SALARY numeric
@attribute MARKET_INDEX {AAA,AA,A,B,C,D,E,''}
@attribute MARKET_VOLUME numeric
@attribute LOCAL_PERCENT numeric
@attribute LOCAL_PRICE numeric
@attribute LOCAL_QUALITY numeric
@attribute PRICE numeric
@attribute SHOP_SIZE {100,500,1000,10000,100000}
@attribute TOWN_DISTRICT {'Фешенебельный район','Центр города','Спальный район',Пригород,Окраина}
@attribute DEPARTMENT_COUNT numeric
@attribute BRAND numeric
@attribute QUALITY numeric
@attribute NOTORIETY numeric
@attribute VISITORS_COUNT {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}
@attribute SERVICE_LEVEL {Элитный,'Очень высокий',Высокий,Нормальный,Низкий,'Очень низкий'}
@attribute SELLER_COUNT numeric
@attribute SELL_VOLUME {'менее 50','около 50','около 100','более 100','около 200','более 200','около 300','более 300','около 500','более 500','около 1 000','более 1 000','около 2 000','более 2 000','около 3 000','более 3 000','около 5 000','более 5 000','около 10 000','более 10 000','около 20 000','более 20 000','около 30 000','более 30 000','около 50 000','более 50 000','около 100 000','более 100 000','около 200 000','более 200 000','около 300 000','более 300 000','около 500 000','более 500 000','около 1 000 000','более 1 000 000','около 2 000 000','более 2 000 000','около 3 000 000','более 3 000 000','около 5 000 000','более 5 000 000'}

@data
47.15,5.7,477.81,E,195661,89.04,114.08,23.5,80,1000,'Центр города',1,0,32.93,526.39,'около 5 000',Нормальный,2,'более 20 000'
47.15,5.7,477.81,E,195661,89.04,114.08,23.5,70,1000,'Центр города',1,1.22,25.11,278.84,'более 1 000',Элитный,2,'более 1 000'
29.42,5.32,475.18,D,116425,46.89,64.85,17.59,35,10000,'Центр города',2,1.66,24.99,429.22,'более 10 000',Элитный,1,'около 50 000'
14.08,5.24,255.26,E,84710,92.49,34.79,16.96,44,10000,'Фешенебельный район',3,1.66,25.12,448.3,'более 1 000',Элитный,1,'около 5 000'
15.52,4.53,210.95,C,173122,0,26.5,15.85,26,10000,'Фешенебельный район',1,0,30.56,675.15,'более 10 000',Элитный,5,'более 100 000'
15.52,4.53,210.95,C,173122,0,26.5,15.85,16.5,10000,'Центр города',1,3.17,14.76,491.34,'более 10 000',Элитный,5,'около 50 000'
15.52,4.53,210.95,C,173122,0,26.5,15.85,15.5,10000,'Спальный район',1,3.17,14.76,499.95,'более 20 000',Элитный,5,'около 10 000'
15.03,5.25,240.61,E,127718,98.62,142.47,1,296.84,10000,'Фешенебельный район',3,0,13.72,370.03,'более 1 000',Элитный,1,'более 1 000'
23.07,6.21,324.96,E,344874,71,44.42,14.21,12,10000,'Центр города',3,0,13.53,518.53,'более 20 000',Нормальный,7,'менее 50'
23.07,6.21,324.96,E,344874,71,44.42,14.21,27,10000,'Центр города',2,0,30.73,477.58,'более 20 000','Очень высокий',7,'более 2 000'
23.07,6.21,324.96,E,344874,71,44.42,14.21,17.1,10000,'Центр города',1,0,16.61,236.11,'более 3 000',Элитный,7,'более 10 000'
3.93,4.75,173.79,E,61823,70.17,6.4,4.25,35,100000,'Фешенебельный район',2,0,24.49,378.65,'около 5 000',Элитный,7,'более 100'
3.93,4.75,173.79,E,61823,70.17,6.4,4.25,11,1000,'Центр города',1,0,14.53,0,'более 100',Элитный,7,'около 1 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,25,10000,'Центр города',1,0,25.54,544.34,'около 50 000',Высокий,9,'более 200 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,11,10000,'Центр города',1,0.11,31.99,385.07,'более 20 000',Элитный,9,'около 50 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,25,10000,'Центр города',1,0,22.53,392.05,'более 10 000',Элитный,9,'более 100 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,25,10000,'Центр города',2,1.66,24.99,309.18,'более 10 000',Элитный,9,'более 100 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,10,10000,'Спальный район',2,0,12.83,154.03,'более 2 000',Элитный,9,'более 1 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,32,10000,'Центр города',1,0,18.59,253,'около 5 000','Очень высокий',9,'около 10 000'
26.2,5.22,274.68,D,1097140,44.06,37.64,20.1,27.27,10000,'Центр города',1,0,31.65,248.4,'около 5 000',Элитный,9,'около 100 000'
11.81,4.2,302.84,D,68932,10.51,14.97,9.07,30,10000,'Центр города',2,1.51,22.86,493.28,'более 10 000','Очень высокий',4,'около 50 000'
11.81,4.2,302.84,D,68932,10.51,14.97,9.07,15,10000,'Центр города',1,0,17.29,164.75,'более 1 000',Нормальный,4,'около 500'
13.91,3.9,283.62,D,76669,45.05,36.58,3.53,55,10000,'Центр города',1,0.97,14.68,384.81,'около 10 000','Очень высокий',2,'около 50 000'
13.91,3.9,283.62,D,76669,45.05,36.58,3.53,15.99,10000,'Центр города',1,0,14.52,94.2,'около 1 000',Высокий,2,'более 2 000'
10.55,5.93,296.99,A,110043,0,20.59,16.34,11,100000,'Центр города',2,0,30.97,597.7,'более 200 000','Очень высокий',3,'более 100 000'
10.55,5.93,296.99,A,110043,0,20.59,16.34,25,100000,'Фешенебельный район',3,2.07,25.02,369.94,'около 5 000',Элитный,3,'около 5 000'
4.58,6.77,182.59,E,78015,93.97,20.51,1,89.81,100000,'Центр города',9,2.91,22.9,700.72,'более 1 000 000','Очень низкий',1,'около 5 000'
14.83,3.9,242.55,E,96604,76.97,93.79,1.77,16,1000,'Фешенебельный район',1,0,14.89,575.71,'более 1 000',Элитный,1,'более 20 000'
17.91,8.19,228.82,C,625365,0,29.15,15.96,75.9,100000,'Центр города',9,2.91,22.9,667.05,'более 1 000 000','Очень низкий',7,'около 100 000'
17.91,8.19,228.82,C,625365,0,29.15,15.96,32,100000,'Центр города',1,0,20.72,452.09,'более 100 000',Элитный,7,'около 500 000'
17.91,8.19,228.82,C,625365,0,29.15,15.96,15,10000,Окраина,1,0,14.44,180.88,'более 1 000',Элитный,7,'более 1 000'
17.91,8.19,228.82,C,625365,0,29.15,15.96,40,10000,'Спальный район',2,0,18.85,510.98,'более 20 000','Очень высокий',7,'более 20 000'
19.93,8.1,472.86,E,339940,59.88,53.48,22.49,175,100000,'Центр города',1,4.55,35.74,565.98,'около 500 000','Очень высокий',3,'около 50 000'
19.93,8.1,472.86,E,339940,59.88,53.48,22.49,50,100000,'Фешенебельный район',1,0,31.83,441.94,'более 20 000',Элитный,3,'около 50 000'
19.93,8.1,472.86,E,339940,59.88,53.48,22.49,38,10000,'Центр города',2,0,20.08,200.77,'около 5 000',Элитный,3,'около 5 000'
5.4,3.38,184.4,D,340026,37.98,5.33,1.16,18.47,100000,'Центр города',9,2.91,22.91,689.39,'более 1 000 000','Очень низкий',5,'около 50 000'
5.4,3.38,184.4,D,340026,37.98,5.33,1.16,8,100000,'Центр города',3,0,13.28,525.23,'около 500 000',Высокий,5,'более 100 000'
5.4,3.38,184.4,D,340026,37.98,5.33,1.16,10,10000,'Центр города',5,1.13,18.74,334.61,'около 10 000',Низкий,5,'более 1 000'
5.4,3.38,184.4,D,340026,37.98,5.33,1.16,7.31,10000,'Центр города',3,0,9.32,317.34,'около 5 000',Элитный,5,'около 1 000'
10.97,4.88,222.61,E,502005,67.38,29.74,16.52,15,100000,'Центр города',9,1.71,18.74,432.56,'более 100 000','Очень низкий',5,'более 1 000'
10.97,4.88,222.61,E,502005,67.38,29.74,16.52,12.21,100000,'Центр города',4,0,30.59,405.85,'более 100 000','Очень высокий',5,'около 100 000'
10.97,4.88,222.61,E,502005,67.38,29.74,16.52,20,100000,'Центр города',2,0,18.71,433.81,'более 100 000',Высокий,5,'около 50 000'
14.21,4.02,165.31,E,733572,88.81,26.66,15.45,77,100000,'Фешенебельный район',3,1.59,25.11,346.63,'более 10 000',Элитный,9,'более 10 000'
14.21,4.02,165.31,E,733572,88.81,26.66,15.45,30,100000,'Центр города',9,1.71,18.74,430.54,'более 100 000',Низкий,9,'более 1 000'
14.21,4.02,165.31,E,733572,88.81,26.66,15.45,26,100000,Окраина,1,0.07,14.99,300.33,'более 20 000',Высокий,9,'около 50 000'
14.21,4.02,165.31,E,733572,88.81,26.66,15.45,26,100000,'Спальный район',3,0,22.53,288.52,'более 20 000',Элитный,9,'более 20 000'
3.13,4.02,139.43,E,732111,91.44,4.22,1,12,10000,'Центр города',5,1.71,18.74,352.65,'около 10 000',Низкий,8,'более 1 000'
3.13,4.02,139.43,E,732111,91.44,4.22,1,13,10000,'Спальный район',2,0.16,13.53,243.71,'более 2 000',Элитный,8,'менее 50'
3.13,4.02,139.43,E,732111,91.44,4.22,1,11,10000,'Спальный район',3,0,6.61,268.04,'около 5 000','Очень высокий',8,'более 100'
7.5,7.28,216.46,D,213833,38.2,30.4,1.86,65,10000,'Фешенебельный район',1,0,30.56,547.06,'около 5 000',Элитный,4,'более 100 000'
7.5,7.28,216.46,D,213833,38.2,30.4,1.86,24,100000,'Спальный район',2,2.98,17.8,443.17,'более 100 000',Элитный,4,'менее 50'
7.5,7.28,216.46,D,213833,38.2,30.4,1.86,15,10000,'Фешенебельный район',5,1.19,18.74,323.04,'около 1 000',Элитный,4,'более 1 000'
7.5,7.28,216.46,D,213833,38.2,30.4,1.86,18,1000,'Центр города',1,0.02,14.44,0,'около 500',Элитный,4,'более 1 000'
14.74,7.58,210.76,C,1809084,0,28.92,15.17,31.2,100000,'Спальный район',9,2.91,22.91,591.1,'около 1 000 000','Очень низкий',9,'более 1 000 000'
14.74,7.58,210.76,C,1809084,0,28.92,15.17,25,100000,'Центр города',2,0,20.68,384.98,'более 100 000',Элитный,9,'более 100 000'
14.74,7.58,210.76,C,1809084,0,28.92,15.17,13,100000,'Центр города',9,1.13,18.74,384.21,'более 100 000',Высокий,9,'около 100'
14.74,7.58,210.76,C,1809084,0,28.92,15.17,21,100000,'Центр города',2,1.53,20.77,393.49,'более 100 000',Элитный,9,'более 100 000'
14.74,7.58,210.76,C,1809084,0,28.92,15.17,36,100000,'Центр города',1,0,19.84,394.6,'более 100 000',Элитный,9,'около 20 000'
